id     raj2000     dej2000     U     SU     B     SB     V     SV     R     SR     I     SI     Plx     e_Plx     P
178 232.469228 -64.884022 19.2405 0.0440 18.8696 0.0346 17.7890 0.0325 17.2317 0.0281 16.6241 0.0342 0.3677 0.0100 1.0000
179 232.475296 -64.859755 17.4629 0.0324 17.1868 0.0313 16.3780 0.0294 15.9259 0.0249 15.4484 0.0295 0.4332 0.0100 1.0000
180 232.433323 -64.935552 19.0769 0.0419 18.7331 0.0340 17.6219 0.0319 17.0661 0.0274 16.4083 0.0329 0.4106 0.0100 1.0000
181 232.472126 -64.922865 20.1959 0.0731 19.6373 0.0405 18.4455 0.0366 17.8075 0.0322 17.0566 0.0398 0.3791 0.0100 1.0000
182 232.460137 -64.872796 14.1190 0.0309 14.0081 0.0308 13.6561 0.0287 13.3605 0.0240 13.1376 0.0284 0.4066 0.0100 1.0000
183 232.448625 -64.820249 20.8100 0.1007 19.9215 0.0451 18.6481 0.0397 18.0379 0.0354 17.4010 0.0453 0.4164 0.0100 1.0000
184 232.475397 -64.731644 20.2029 0.0701 19.6031 0.0400 18.4032 0.0364 17.7802 0.0321 17.0909 0.0402 0.4178 0.0100 1.0000
185 232.382142 -64.759566 17.1260 0.0319 16.7365 0.0311 16.0214 0.0292 15.5543 0.0245 15.0613 0.0290 0.3593 0.0100 1.0000
186 232.453812 -64.864005 16.6436 0.0314 16.2539 0.0310 15.6133 0.0290 15.2859 0.0244 14.8838 0.0289 0.4006 0.0100 1.0000
187 232.445476 -64.844166 13.5546 0.0309 13.5342 0.0308 13.1618 0.0287 12.9145 0.0240 12.6753 0.0283 0.4063 0.0100 1.0000
188 232.520002 -64.843326 15.3219 0.0310 13.8079 0.0308 12.1569 0.0287 11.2869 0.0240 10.4668 0.0283 0.4310 0.0100 1.0000
189 232.395620 -64.772112 15.9626 0.0311 15.6607 0.0309 15.0139 0.0288 14.7659 0.0242 14.4768 0.0286 0.4121 0.0100 1.0000
190 232.473138 -64.775689 15.5029 0.0310 15.2594 0.0308 14.6987 0.0288 14.4263 0.0241 14.0647 0.0285 0.3891 0.0100 1.0000
191 232.443788 -64.869365 15.5386 0.0311 15.2361 0.0308 14.7225 0.0288 14.4765 0.0242 14.1499 0.0285 0.3897 0.0100 1.0000
192 232.439085 -64.873780 19.6566 0.0509 19.1562 0.0359 17.9690 0.0332 17.3242 0.0286 16.6083 0.0346 0.4042 0.0100 1.0000
193 232.337418 -64.804737 15.5815 0.0311 15.2509 0.0308 14.7951 0.0288 14.4997 0.0242 14.1733 0.0285 0.3964 0.0100 1.0000
194 232.534503 -64.909549 19.7533 0.0536 19.1960 0.0368 18.1066 0.0341 17.5297 0.0298 16.8745 0.0367 0.3854 0.0100 1.0000
195 232.460027 -64.826403 13.9720 0.0309 13.8856 0.0308 13.5061 0.0287 13.2421 0.0240 12.9426 0.0284 0.3972 0.0100 1.0000
196 232.447404 -64.856958 14.6540 0.0310 14.4792 0.0308 14.0816 0.0287 13.8199 0.0241 13.5192 0.0284 0.4127 0.0100 1.0000
197 232.445689 -64.812979 16.5294 0.0314 16.1507 0.0309 15.5440 0.0290 15.1739 0.0244 14.8183 0.0288 0.3794 0.0100 1.0000
198 232.369192 -64.859403 18.1172 0.0342 17.8426 0.0319 16.9348 0.0301 16.3853 0.0256 15.8610 0.0304 0.3861 0.0100 1.0000
199 232.414154 -64.934445 15.2910 0.0310 14.9968 0.0308 14.5748 0.0288 14.2945 0.0241 13.9753 0.0285 0.3991 0.0100 1.0000
